Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,101_91,WW,2000_2010,0.7163777,0.3492521,-0.3521095,-0.0550116,36.12705,53.70145455,3969.428654,9284.96,0.86,0.36
short,139_142,WW,2000_2010,1.08248,0.4199406,-0.1162851,-0.0498226,29.331954,34.90518182,4977.69394,11094.75,1.07,0.43
short,94_71,WW,2000_2010,1.0831444,0.4850142,-0.5871314,-0.0541297,44.713843,51.78527273,5276.117213,10809.9,1.45,0.5
short,94_68,WW,2000_2010,1.0198849,0.4847785,-0.8363855,-0.0540011,34.533981,70.29463636,4353.007625,10515.61,1.45,0.5
short,66_59,WW,2000_2010,0.9091393,0.3775707,0.2318102,-0.0525881,60.986974,16.05581818,4846.597555,10413.21,0.87,0.39
short,99_126,WW,2000_2010,0.7308764,0.3694239,-0.0366675,-0.0537789,42.055354,38.10672727,4077.77425,9167.87,0.75,0.38
short,101_88,WW,2000_2010,0.7506722,0.3686554,-0.3056372,-0.0551395,35.775705,52.62718182,4310.316034,9872.34,0.86,0.38
short,81_138,WW,2000_2010,1.0404406,0.464652,-0.6678688,-0.056152,63.504041,30.62045455,5606.849693,9416.25,1.37,0.48
short,121_145,WW,2000_2010,0.9050285,0.2925228,0.211455,-0.0518497,31.403132,32.37872727,5684.878394,10272.65,0.74,0.3
short,47_169,WW,2000_2010,1.0291667,0.3872112,-0.1960368,-0.0556852,43.034301,40.90936364,6738.175215,9321.49,0.98,0.4
short,62_73,WW,2000_2010,0.6618406,0.3471418,0.4185877,-0.0572191,82.905739,0.864636364,5965.225035,9355.9,0.47,0.36
short,133_145,WW,2000_2010,0.8362877,0.2930927,-0.0824941,-0.0498919,25.688912,42.76854545,5177.500195,10870.84,0.83,0.3
short,93_138,WW,2000_2010,1.1376576,0.4863127,-0.668364,-0.0534399,49.956372,51.46827273,4283.241619,9228.85,1.45,0.5
short,94_111,WW,2000_2010,1.1061262,0.4861936,-0.6342334,-0.0548085,46.343563,62.91527273,4395.432986,8867.22,1.45,0.5
short,117_145,WW,2000_2010,0.8910113,0.2926405,-0.1621137,-0.0512458,36.288112,29.18763636,6089.042363,10501.72,0.9,0.3
short,86_111,WW,2000_2010,0.8883125,0.3596691,-0.5601126,-0.0526414,28.982136,77.299,3718.119084,8518.84,1.07,0.37
short,105_145,WW,2000_2010,0.7635504,0.350437,-0.2099481,-0.0532927,40.715205,41.403,3669.207773,9387.22,0.86,0.36
short,186_123,WW,2000_2010,1.5826753,0.3838311,-0.6889771,-0.0398422,41.945734,96.71472727,1926.059896,5073.98,1.97,0.39
short,143_125,WW,2000_2010,1.3332518,0.4890344,-0.3019122,-0.0482128,32.293592,42.61336364,4634.333135,10894.34,1.45,0.5
short,106_112,WW,2000_2010,1.6055869,0.797317,-0.6429576,-0.0537507,54.413002,35.97918182,6367.064976,9850.27,2.08,0.82
short,85_146,WW,2000_2010,0.8794576,0.2806107,-0.3473293,-0.0566416,51.348825,35.67718182,5704.00322,9013.94,0.99,0.29
short,114_112,WW,2000_2010,0.8691821,0.359848,-0.4723976,-0.053255,38.075835,47.57572727,3899.161176,9425.03,1.07,0.37
short,97_146,WW,2000_2010,1.2969643,0.4868121,-0.4100014,-0.0520233,54.441715,45.43909091,6004.206819,8342.15,1.45,0.5
short,151_125,WW,2000_2010,1.357058,0.4901046,-0.1888697,-0.0449583,31.926372,37.14209091,4174.548267,11619.42,1.45,0.5
short,130_112,WW,2000_2010,0.7695306,0.2923007,-0.1656422,-0.0521453,27.293214,46.37136364,4092.366251,11735.57,0.89,0.3
short,68_83,WW,2000_2010,0.7357742,0.3574535,-0.4102944,-0.0555329,38.379212,65.45527273,4539.388165,9125.25,0.87,0.37
short,75_117,WW,2000_2010,0.7270051,0.3668101,-0.5935611,-0.0558113,51.714875,41.25745455,5110.051416,9328.53,0.86,0.38
short,167_125,WW,2000_2010,1.2517196,0.4925208,-0.404129,-0.0371576,47.428906,65.82372727,1848.456601,5791.21,1.45,0.5
short,67_117,WW,2000_2010,0.7483501,0.3857195,-0.8784899,-0.0576484,41.687558,60.58345455,4558.442672,9084.01,1,0.4
short,122_112,WW,2000_2010,0.7414975,0.350581,-0.1864197,-0.053518,37.883071,40.64672727,3416.400938,9956.99,0.83,0.36
short,69_67,WW,2000_2010,1.4317932,1.0251945,-0.9064529,-0.0559937,67.820967,58.93381818,5653.034479,9485.16,2.13,1.06
short,78_120,WW,2000_2010,0.6295047,0.3858542,-0.7032347,-0.0561329,37.103396,65.41236364,4262.024614,8559.77,0.83,0.4
short,76_87,WW,2000_2010,4.3800919,1.9359793,-1.0982138,-0.0529681,42.189362,101.7495455,5708.390642,11351.65,6.74,1.99
short,55_65,WW,2000_2010,0.7190299,0.4146554,0.1958899,-0.055703,73.965064,11.15609091,6069.052225,9682.99,0.65,0.43
short,81_78,WW,2000_2010,0.7756026,0.4544207,-0.5543151,-0.0552184,54.685874,51.43172727,4831.573874,8330.34,0.98,0.47
short,111_56,WW,2000_2010,0.9044491,0.4854467,-1.0459229,-0.0536873,22.82888,70.27354545,2633.589397,8465.45,1.45,0.5
short,73_49,WW,2000_2010,1.551117,1.0327237,-1.2814878,-0.0549398,43.866599,103.4063636,5911.898572,8741.29,2.72,1.07
